Document Url,length,label
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/01.21299.20121127.142339.mp3,52.74,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-07-27-002452-30.mp3,27,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-08-01-204601-14.mp3,56.088,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-09-06-150531-22.mp3,215.64,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-26-175819-4.mp3,117.216,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-05-28-090043-30.mp3,27.288,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-10-10-180634-24.mp3,52.704,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-02-20-233041-30.mp3,67.608,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/11-30.724451.20130701.103122.mp3,20.736,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-02-18-114444-22.mp3,17.136,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-08-21-165020-6.mp3,24.408,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/332.42496.20121110.181557.mp3,85.392,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-02-26-104553-10.mp3,60.912,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-01-161045-26.mp3,20.448,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-08-13-122715-6.mp3,4.968,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-12-201453-20.mp3,38.016,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-09-11-193244-16.mp3,180.72,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/19.18354.20130504.195658.mp3,81.18,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-02-164310-6.mp3,23.544,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/02-15.594614.20130624.153335.mp3,27.108,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-27-112655-30.mp3,302.184,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/74.26720.20121227.121657.mp3,647.856,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-17-145945-8.mp3,32.112,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-11-06-221125-4.mp3,12.024,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-02-22-134930-8.mp3,84.24,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-02-11-113051-22.mp3,30.456,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-18-123135-28.mp3,13.68,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/372.83498.20121122.203152.mp3,78.372,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-20-221949-18.mp3,16.344,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-01-124510-16.mp3,32.4,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-04-25-151402-30.mp3,41.184,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-09-09-143116-15.mp3,42.768,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-9009-2012-12-14-100549-1.mp3,34.56,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-07-22-170017-14.mp3,4.464,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-24-173155-26.mp3,249.336,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-06-215407-16.mp3,33.552,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-07-16-171324-4.mp3,26.352,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-28-122247-16.mp3,55.296,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-24-091318-8.mp3,53.136,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-08-09-125546-24.mp3,19.728,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-16-190542-26.mp3,147.816,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-09-26-200146-18.mp3,6.12,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-07-25-174215-18.mp3,94.32,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/03.86269.20130422.095111.mp3,50.544,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-05-16-124342-12.mp3,32.904,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-10-08-201749-16.mp3,90.216,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-09-28-212550-4.mp3,15.84,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/71.89602.20121226.182813.mp3,17.532,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-09-28-173347-20.mp3,311.832,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-10-28-192324-6.mp3,64.512,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-04-15-102451-12.mp3,34.056,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-05-29-183318-24.mp3,27.288,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-06-220807-2.mp3,67.824,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-9009-2012-11-09-123055-5.mp3,22.248,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-08-14-194651-28.mp3,5.904,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-09-06-210008-22.mp3,198.288,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-11-22-163058-12.mp3,81.144,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-09-28-102131-12.mp3,30.6,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-12-16-104015-12.mp3,26.712,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-15-163859-14.mp3,25.056,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-10-02-200426-24.mp3,90.72,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-06-21-203226-10.mp3,36.36,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/70.80512.20130607.200250.mp3,81.036,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-01-14-210101-4.mp3,24.336,0
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2013-03-07-213856-2.mp3,32.76,1
http://s3.amazonaws.com/archivo.lanacion.com.ar/nisman/B-1009-2012-11-15-181026-4.mp3,39.816,0
